n,x,y,lab
230.0,-13.182705875821643,10.32461364530876,1
231.0,-13.182693950413372,10.318848560650931,1
232.0,-13.179941991841558,10.318895480190175,1
233.0,-13.177128462224609,10.31886404071793,1
234.0,-13.174375044827597,10.318908844561804,1
235.0,-13.174393947034247,10.31895103334794,1
236.0,-13.174317223798036,10.321655385695584,1
237.0,-13.174395636665016,10.324585027790445,1
238.0,-13.174381975711686,10.327462974003383,1
239.0,-13.1771273816624,10.330310262636807,1
240.0,-13.182764940370587,10.34448457184777,1
241.0,-13.188270685681625,10.358786137869975,1
242.0,-13.188278714577208,10.35880831596942,1
243.0,-13.191029041112804,10.341684405090241,1
244.0,-13.18549059603078,10.327424475957505,1
245.0,-13.18276788775194,10.330338013756206,1
246.0,-13.179987909909347,10.330260126491632,1
247.0,-13.182695334352706,10.333142137124685,1
248.0,-13.185555612835023,10.330275723917365,1
249.0,-13.185548819642724,10.330334942293634,1
250.0,-13.185585407728848,10.33603178752459,1
251.0,-13.185524093591328,10.34169239929668,1
252.0,-13.179942068076185,10.34455444841113,1
253.0,-13.168844575510175,10.341795184455597,1
254.0,-13.157721610084472,10.347421871151623,1
255.0,-13.146500726342625,10.355960642159204,1
256.0,-13.143697087624673,10.347406240273227,1
257.0,-13.140908954282109,10.330295632400984,1
258.0,-13.143706300755557,10.304642866195053,1
259.0,-13.160406555946695,10.298906013527292,1
260.0,-13.174362224960777,10.304587370697124,1
261.0,-13.18834394593285,10.318930340899884,1
262.0,-13.188323226354981,10.330372436616745,1
263.0,-13.177148947937022,10.324550895092985,1
264.0,-13.166026624369938,10.321645463058136,1
265.0,-13.1576655750612,10.32173824319363,1
266.0,-13.171586987249825,10.324626430473568,1
267.0,-13.18554291471,10.324566110878086,1
268.0,-13.185522487033836,10.321685332634235,1
269.0,-13.17989858341046,10.32739953469473,1
270.0,-13.174345061650403,10.33882486005188,1
271.0,-13.174375522719673,10.350257229312392,1
272.0,-13.174310492512749,10.34741768803944,1
273.0,-13.171592603130073,10.341670927262323,1
274.0,-13.182740776539092,10.338896592800502,1
275.0,-13.199471913063064,10.341695702593194,1
276.0,-13.202255083107257,10.3445901674432,1
277.0,-13.188380604360649,10.344617290501617,1
278.0,-13.177231054285226,10.33600034416316,1
279.0,-13.17711080113743,10.33309603472129,1
280.0,-13.177193537338077,10.330290792003469,1
281.0,-13.182702180475609,10.350235325270893,1
282.0,-13.196641319666366,10.370192211828954,1
283.0,-13.210674812334783,10.375953164875602,1
284.0,-13.216214897869193,10.361624642062012,1
285.0,-13.210582622860944,10.347400746513273,1
286.0,-13.207790860336601,10.353090140755494,1
287.0,-13.207792484291998,10.361692387358023,1
288.0,-13.210594157504705,10.361613885179104,1
289.0,-13.213381048484255,10.361645951566741,1
290.0,-13.2133438408391,10.35871856178135,1
291.0,-13.210617291902038,10.355873258437747,1
292.0,-13.210682858345416,10.353163602286848,1
293.0,-13.213415227781521,10.350249823946438,1
294.0,-13.218905653573103,10.350251031505922,1
295.0,-13.218973394879725,10.353081482622278,1
296.0,-13.221721956184052,10.361673435759425,1
297.0,-13.218940512106563,10.367321757575644,1
298.0,-13.216146216703349,10.370197460938323,1
299.0,-13.213393475955234,10.36164471651006,1
300.0,-13.210521678535917,10.353121554063545,1
301.0,-13.213259734338735,10.344607117481281,1
302.0,-13.216217638314351,10.341708468485484,1
303.0,-13.21615331455192,10.338915891859832,1
304.0,-13.216226416766442,10.344600874261106,1
305.0,-13.216141432689493,10.356077371888986,1
306.0,-13.216263753428372,10.367345034767112,1
307.0,-13.227286775227794,10.378723323943381,1
308.0,-13.238426952490245,10.381592317279955,1
309.0,-13.249566188139617,10.381593266789622,1
310.0,-13.246814195505372,10.378721325209684,1
311.0,-13.24956525748492,10.381605250741533,1
312.0,-13.252384598266747,10.390180999708358,1
313.0,-13.260748312985992,10.398704996604263,1
314.0,-13.266276969724032,10.401525127237715,1
315.0,-13.263481567444275,10.390166265127432,1
316.0,-13.257898691135585,10.381666290265672,1
317.0,-13.249614082282477,10.384453976745672,1
318.0,-13.249441422683226,10.398693031270414,1
319.0,-13.246825383745458,10.410065548159139,1
320.0,-13.243963713051972,10.410059401847999,1
321.0,-13.241181002754152,10.412892210552137,1
322.0,-13.241239444143742,10.40731053361606,1
323.0,-13.243935803098028,10.401558741747014,1
324.0,-13.24671663352927,10.395889852064014,1
325.0,-13.243968162983563,10.395845872064156,1
326.0,-13.235592877089331,10.392974096273912,1
327.0,-13.227285848690105,10.387310166120253,1
328.0,-13.22172339808698,10.387299504201003,1
329.0,-13.221792943000116,10.39296574824871,1
330.0,-13.221720073770898,10.398669091638853,1
331.0,-13.218952254472194,10.398746051119105,1
332.0,-13.20781221537027,10.395896363121905,1
333.0,-13.202168456497144,10.393042741087717,1
334.0,-13.196730719513226,10.390127455620371,1
335.0,-13.199501603060376,10.390162767445043,1
336.0,-13.202219602330311,10.390163600233722,1
337.0,-13.202282801678388,10.392978503791104,1
338.0,-13.199542923689263,10.398737250983842,1
339.0,-13.179909189360643,10.39874531690061,1
340.0,-13.157585378605521,10.395836649340428,1
341.0,-13.14092578422272,10.390179861180942,1
342.0,-13.140921252818403,10.38731728713692,1
