
counter: 9
(163.0, -16.423532, 7.952416)
(164.0, -16.426236, 7.955306)
(165.0, -16.423532, 7.961086)
(166.0, -16.420827, 7.969756)
(167.0, -16.420827, 7.969756)
(168.0, -16.423532, 7.972646)
(169.0, -16.423532, 7.972646)
(170.0, -16.423532, 7.969756)
(171.0, -16.423532, 7.969756)
(172.0, -16.420827, 7.972646)
(173.0, -16.420827, 7.972646)
(174.0, -16.423532, 7.963976)
(175.0, -16.42894, 7.958196)
(176.0, -16.431644, 7.955306)
(177.0, -16.434348, 7.952416)
(178.0, -16.437052, 7.949525)
(179.0, -16.434348, 7.952416)
(180.0, -16.434348, 7.958196)
(181.0, -16.431644, 7.961086)
(182.0, -16.431644, 7.961086)
(183.0, -16.431644, 7.958196)
(184.0, -16.431644, 7.952416)
(185.0, -16.42894, 7.949525)
(186.0, -16.420827, 7.949525)
(187.0, -16.415418, 7.952416)
(188.0, -16.412714, 7.958196)
(189.0, -16.418123, 7.958196)
(190.0, -16.426236, 7.958196)
(191.0, -16.431644, 7.958196)
(192.0, -16.431644, 7.961086)
(193.0, -16.431644, 7.961086)
(194.0, -16.434348, 7.961086)
(195.0, -16.437052, 7.955306)
(196.0, -16.437052, 7.946635)
(197.0, -16.434348, 7.937964)
(198.0, -16.42894, 7.932183)
(199.0, -16.426236, 7.932183)
(200.0, -16.420827, 7.932183)
(201.0, -16.418123, 7.929292)
(202.0, -16.418123, 7.932183)
(203.0, -16.420827, 7.937964)
(204.0, -16.423532, 7.949525)
(205.0, -16.418123, 7.958196)
(206.0, -16.412714, 7.966866)
(207.0, -16.407305, 7.966866)
(208.0, -16.4046, 7.969756)
(209.0, -16.39919, 7.969756)
(210.0, -16.39378, 7.969756)
(211.0, -16.385665, 7.969756)
(212.0, -16.380254, 7.961086)
(213.0, -16.380254, 7.955306)
(214.0, -16.380254, 7.952416)
(215.0, -16.382959, 7.958196)
(216.0, -16.382959, 7.958196)
(217.0, -16.380254, 7.949525)
(218.0, -16.377549, 7.940854)
(219.0, -16.377549, 7.943745)
(220.0, -16.380254, 7.955306)
(221.0, -16.382959, 7.966866)
(222.0, -16.382959, 7.966866)
(223.0, -16.382959, 7.966866)
(224.0, -16.382959, 7.966866)
(225.0, -16.382959, 7.966866)
(226.0, -16.385665, 7.969756)
(227.0, -16.385665, 7.972646)
(228.0, -16.38837, 7.978426)
(229.0, -16.38837, 7.975536)
(230.0, -16.391075, 7.972646)
(231.0, -16.391075, 7.966866)
(232.0, -16.39378, 7.966866)
(233.0, -16.39378, 7.963976)
(234.0, -16.391075, 7.958196)
(235.0, -16.391075, 7.955306)
(236.0, -16.39378, 7.952416)
(237.0, -16.39378, 7.949525)
(238.0, -16.391075, 7.943745)
(239.0, -16.38837, 7.937964)
(240.0, -16.38837, 7.937964)
(241.0, -16.391075, 7.940854)
(242.0, -16.39378, 7.940854)
(243.0, -16.39378, 7.937964)
(244.0, -16.391075, 7.935073)
(245.0, -16.38837, 7.935073)
(246.0, -16.385665, 7.937964)
(247.0, -16.385665, 7.940854)
(248.0, -16.385665, 7.940854)
(249.0, -16.38837, 7.946635)
(250.0, -16.39378, 7.949525)
(251.0, -16.396485, 7.952416)
(252.0, -16.39919, 7.952416)
(253.0, -16.4046, 7.955306)
(254.0, -16.412714, 7.958196)
(255.0, -16.415418, 7.958196)
(256.0, -16.418123, 7.961086)
(257.0, -16.410009, 7.961086)
(258.0, -16.401895, 7.961086)
(259.0, -16.396485, 7.966866)
(260.0, -16.39378, 7.969756)
(261.0, -16.36402, 7.972646)
(262.0, -16.328837, 7.961086)
(263.0, -16.261142, 7.946635)
(264.0, -16.187979, 7.929292)

counter: 44
(299.0, -1.598509, 0.02143)
(300.0, -1.510398, 0.018483)
(301.0, -1.481026, 0.015537)
(302.0, -1.49865, 0.03027)
(303.0, -1.53977, 0.07447)
(304.0, -1.583825, 0.127509)
(305.0, -1.657246, 0.177601)
(306.0, -1.721852, 0.221801)
(307.0, -1.777645, 0.25716)
(308.0, -1.807008, 0.280732)
(309.0, -1.818753, 0.298412)
(310.0, -1.824626, 0.307251)
(311.0, -1.830498, 0.292518)
(312.0, -1.815817, 0.263053)
(313.0, -1.798199, 0.227694)
(314.0, -1.762963, 0.201174)
(315.0, -1.727725, 0.171708)
(316.0, -1.666056, 0.127509)
(317.0, -1.616131, 0.098043)
(318.0, -1.566203, 0.068576)
(319.0, -1.528021, 0.059736)
(320.0, -1.495712, 0.04795)
(321.0, -1.472215, 0.03911)
(322.0, -1.457528, 0.03027)
(323.0, -1.442842, 0.024377)
(324.0, -1.439904, 0.03027)
(325.0, -1.436967, 0.03911)
(326.0, -1.425218, 0.04795)
(327.0, -1.416405, 0.04795)
(328.0, -1.407593, 0.04795)
(329.0, -1.407593, 0.050896)
(330.0, -1.407593, 0.053843)
(331.0, -1.407593, 0.05679)
(332.0, -1.407593, 0.062683)
(333.0, -1.404656, 0.071523)
(334.0, -1.401718, 0.077416)
(335.0, -1.401718, 0.077416)
(336.0, -1.407593, 0.07447)
(337.0, -1.413468, 0.068576)
(338.0, -1.416405, 0.06563)
(339.0, -1.413468, 0.068576)
(340.0, -1.416405, 0.077416)
(341.0, -1.42228, 0.083309)
(342.0, -1.425218, 0.086256)
(343.0, -1.419343, 0.086256)
(344.0, -1.413468, 0.089203)
(345.0, -1.407593, 0.092149)
(346.0, -1.410531, 0.095096)
(347.0, -1.413468, 0.095096)
(348.0, -1.404656, 0.098043)
(349.0, -1.395843, 0.095096)
(350.0, -1.381156, 0.095096)
(351.0, -1.378218, 0.089203)
(352.0, -1.375281, 0.089203)
(353.0, -1.378218, 0.086256)
(354.0, -1.378218, 0.086256)
(355.0, -1.381156, 0.089203)
(356.0, -1.375281, 0.089203)
(357.0, -1.372343, 0.092149)
(358.0, -1.366468, 0.095096)
(359.0, -1.366468, 0.092149)
(360.0, -1.354718, 0.092149)
(361.0, -1.342968, 0.095096)
(362.0, -1.331218, 0.098043)
(363.0, -1.334155, 0.098043)
(364.0, -1.331218, 0.095096)
(365.0, -1.331218, 0.092149)
(366.0, -1.32828, 0.089203)
(367.0, -1.331218, 0.089203)
(368.0, -1.32828, 0.092149)
(369.0, -1.32828, 0.089203)
(370.0, -1.32828, 0.083309)
(371.0, -1.316529, 0.077416)
(372.0, -1.307716, 0.071523)
(373.0, -1.295966, 0.06563)
(374.0, -1.293028, 0.06563)
(375.0, -1.287153, 0.071523)
(376.0, -1.269526, 0.080363)
(377.0, -1.254837, 0.089203)
(378.0, -1.243086, 0.092149)
(379.0, -1.248962, 0.086256)
(380.0, -1.2519, 0.080363)
(381.0, -1.254837, 0.068576)
(382.0, -1.248962, 0.062683)
(383.0, -1.2519, 0.062683)
(384.0, -1.260713, 0.06563)
(385.0, -1.269526, 0.068576)
(386.0, -1.269526, 0.06563)
(387.0, -1.272464, 0.068576)
(388.0, -1.269526, 0.068576)
(389.0, -1.269526, 0.071523)
(390.0, -1.272464, 0.068576)
(391.0, -1.281277, 0.06563)
(392.0, -1.287153, 0.062683)
(393.0, -1.29009, 0.062683)
(394.0, -1.298903, 0.062683)
(395.0, -1.304779, 0.062683)
(396.0, -1.310654, 0.059736)
(397.0, -1.313592, 0.062683)
(398.0, -1.316529, 0.06563)
(399.0, -1.316529, 0.071523)
(400.0, -1.313592, 0.071523)
(401.0, -1.310654, 0.071523)
(402.0, -1.307716, 0.068576)
(403.0, -1.293028, 0.06563)
(404.0, -1.281277, 0.071523)
(405.0, -1.272464, 0.086256)
(406.0, -1.269526, 0.098043)
(407.0, -1.269526, 0.095096)
(408.0, -1.266588, 0.086256)
(409.0, -1.254837, 0.077416)
(410.0, -1.243086, 0.071523)
(411.0, -1.23721, 0.06563)
(412.0, -1.243086, 0.05679)
(413.0, -1.246024, 0.05679)
(414.0, -1.248962, 0.059736)
(415.0, -1.246024, 0.062683)
(416.0, -1.246024, 0.068576)
(417.0, -1.243086, 0.06563)
(418.0, -1.246024, 0.06563)
(419.0, -1.2519, 0.062683)
(420.0, -1.257775, 0.05679)
(421.0, -1.263651, 0.053843)
(422.0, -1.272464, 0.050896)
(423.0, -1.284215, 0.050896)
(424.0, -1.29009, 0.053843)
(425.0, -1.29009, 0.053843)
(426.0, -1.287153, 0.05679)
(427.0, -1.284215, 0.05679)
(428.0, -1.266588, 0.053843)
(429.0, -1.213708, 0.050896)
(430.0, -1.113816, 0.04795)
(431.0, -1.005103, 0.045003)
(432.0, -0.893444, 0.042057)
(433.0, -0.77884, 0.03027)

counter: 48
(437.0, -0.158716, -0.031609)
(438.0, -0.058784, -0.049289)
(439.0, 0.014696, -0.069916)
(440.0, 0.099933, -0.090542)
(441.0, 0.152838, -0.084649)
(442.0, 0.214561, -0.078756)
(443.0, 0.238074, -0.066969)
(444.0, 0.246891, -0.066969)
(445.0, 0.235135, -0.069916)
(446.0, 0.211621, -0.078756)
(447.0, 0.188108, -0.084649)
(448.0, 0.149899, -0.099382)
(449.0, 0.114629, -0.111169)
(450.0, 0.070541, -0.120008)
(451.0, 0.032331, -0.120008)
(452.0, 0.002939, -0.114115)
(453.0, -0.020574, -0.108222)
(454.0, -0.029392, -0.105275)
(455.0, -0.03821, -0.096435)
(456.0, -0.03821, -0.090542)
(457.0, -0.03821, -0.084649)
(458.0, -0.032331, -0.084649)
(459.0, -0.029392, -0.087596)
(460.0, -0.023514, -0.087596)
(461.0, -0.023514, -0.087596)
(462.0, -0.023514, -0.093489)
(463.0, -0.020574, -0.102329)
(464.0, -0.011757, -0.111169)
(465.0, -0.002939, -0.108222)
(466.0, 0.008818, -0.105275)
(467.0, 0.011757, -0.111169)
(468.0, 0.011757, -0.125902)
(469.0, 0.017635, -0.143581)
(470.0, 0.026453, -0.152421)
(471.0, 0.03527, -0.155368)
(472.0, 0.03821, -0.155368)
(473.0, 0.03821, -0.155368)
(474.0, 0.044088, -0.152421)
(475.0, 0.047027, -0.146528)
(476.0, 0.049966, -0.134742)
(477.0, 0.047027, -0.122955)
(478.0, 0.047027, -0.114115)
(479.0, 0.044088, -0.117062)
(480.0, 0.041149, -0.134742)
(481.0, 0.032331, -0.152421)
(482.0, 0.023514, -0.161261)
(483.0, 0.014696, -0.158315)
(484.0, 0.014696, -0.155368)
(485.0, 0.014696, -0.152421)
(486.0, 0.011757, -0.149475)
(487.0, 0.014696, -0.146528)
(488.0, 0.023514, -0.146528)
(489.0, 0.032331, -0.140635)
(490.0, 0.041149, -0.134742)
(491.0, 0.044088, -0.128848)
(492.0, 0.03821, -0.122955)
(493.0, 0.032331, -0.117062)
(494.0, 0.026453, -0.111169)
(495.0, 0.029392, -0.114115)
(496.0, 0.032331, -0.117062)
(497.0, 0.03821, -0.117062)
(498.0, 0.041149, -0.120008)
(499.0, 0.047027, -0.122955)
(500.0, 0.047027, -0.128848)
(501.0, 0.047027, -0.134742)
(502.0, 0.049966, -0.134742)
(503.0, 0.049966, -0.131795)
(504.0, 0.049966, -0.128848)
(505.0, 0.049966, -0.128848)
(506.0, 0.052906, -0.125902)
(507.0, 0.055845, -0.125902)
(508.0, 0.058784, -0.117062)
(509.0, 0.061723, -0.105275)
(510.0, 0.061723, -0.096435)
(511.0, 0.061723, -0.099382)
(512.0, 0.061723, -0.105275)
(513.0, 0.061723, -0.114115)
(514.0, 0.055845, -0.117062)
(515.0, 0.052906, -0.122955)
(516.0, 0.044088, -0.122955)
(517.0, 0.041149, -0.117062)
(518.0, 0.03821, -0.111169)
(519.0, 0.03527, -0.108222)
(520.0, 0.049966, -0.114115)
(521.0, 0.061723, -0.114115)
(522.0, 0.07348, -0.108222)
(523.0, 0.070541, -0.105275)
(524.0, 0.064662, -0.099382)
(525.0, 0.061723, -0.093489)
(526.0, 0.061723, -0.087596)
(527.0, 0.070541, -0.087596)
(528.0, 0.082298, -0.096435)
(529.0, 0.091115, -0.105275)
(530.0, 0.091115, -0.114115)
(531.0, 0.091115, -0.114115)
(532.0, 0.094054, -0.111169)
(533.0, 0.096993, -0.105275)
(534.0, 0.102872, -0.102329)
(535.0, 0.105811, -0.099382)
(536.0, 0.105811, -0.093489)
(537.0, 0.10875, -0.087596)
(538.0, 0.105811, -0.081702)
(539.0, 0.102872, -0.084649)
(540.0, 0.102872, -0.087596)
(541.0, 0.096993, -0.084649)
(542.0, 0.094054, -0.084649)
(543.0, 0.088176, -0.081702)
(544.0, 0.088176, -0.078756)
(545.0, 0.088176, -0.075809)
(546.0, 0.088176, -0.069916)
(547.0, 0.085237, -0.066969)
(548.0, 0.079358, -0.069916)
(549.0, 0.070541, -0.072862)
(550.0, 0.061723, -0.078756)
(551.0, 0.052906, -0.078756)
(552.0, 0.049966, -0.078756)
(553.0, 0.049966, -0.078756)
(554.0, 0.055845, -0.081702)
(555.0, 0.058784, -0.087596)
(556.0, 0.064662, -0.081702)
(557.0, 0.067602, -0.075809)
(558.0, 0.070541, -0.069916)
(559.0, 0.076419, -0.069916)
(560.0, 0.076419, -0.069916)
(561.0, 0.079358, -0.069916)
(562.0, 0.085237, -0.072862)
(563.0, 0.091115, -0.075809)
(564.0, 0.096993, -0.075809)
(565.0, 0.094054, -0.072862)
(566.0, 0.091115, -0.064022)
(567.0, 0.088176, -0.058129)
(568.0, 0.088176, -0.055183)
(569.0, 0.094054, -0.058129)
(570.0, 0.102872, -0.058129)
(571.0, 0.114629, -0.055183)
(572.0, 0.126385, -0.055183)
(573.0, 0.135203, -0.055183)
(574.0, 0.141081, -0.061076)
(575.0, 0.14696, -0.064022)
(576.0, 0.149899, -0.064022)
(577.0, 0.14696, -0.061076)
(578.0, 0.141081, -0.055183)
(579.0, 0.14402, -0.055183)
(580.0, 0.14696, -0.052236)
(581.0, 0.141081, -0.052236)
(582.0, 0.132264, -0.052236)
(583.0, 0.120507, -0.049289)
(584.0, 0.120507, -0.043396)
(585.0, 0.120507, -0.040449)
(586.0, 0.120507, -0.040449)
(587.0, 0.123446, -0.046343)
(588.0, 0.126385, -0.052236)
(589.0, 0.126385, -0.058129)
(590.0, 0.129325, -0.058129)
(591.0, 0.129325, -0.052236)
(592.0, 0.120507, -0.052236)
(593.0, 0.10875, -0.049289)
(594.0, 0.085237, -0.052236)
(595.0, 0.070541, -0.046343)
(596.0, 0.061723, -0.043396)
(597.0, 0.070541, -0.016876)
(598.0, 0.085237, 0.024377)
(599.0, 0.096993, 0.092149)
(600.0, 0.099933, 0.154029)
(601.0, 0.10875, 0.23064)
(602.0, 0.117568, 0.280732)
(603.0, 0.141081, 0.324931)
(604.0, 0.152838, 0.345556)
(605.0, 0.164595, 0.366182)
(606.0, 0.164595, 0.372075)
(607.0, 0.14402, 0.366182)
(608.0, 0.126385, 0.345556)
(609.0, 0.10875, 0.319037)
(610.0, 0.105811, 0.292518)
(611.0, 0.117568, 0.271892)
(612.0, 0.129325, 0.24832)
(613.0, 0.141081, 0.224747)
(614.0, 0.14402, 0.207068)
(615.0, 0.14696, 0.210014)
(616.0, 0.152838, 0.215907)
(617.0, 0.158716, 0.23064)
(618.0, 0.155777, 0.233587)
(619.0, 0.149899, 0.23064)
(620.0, 0.14696, 0.218854)
(621.0, 0.14696, 0.212961)
(622.0, 0.14696, 0.215907)
(623.0, 0.14696, 0.212961)
(624.0, 0.14402, 0.204121)
(625.0, 0.141081, 0.198228)
(626.0, 0.141081, 0.198228)
(627.0, 0.141081, 0.198228)
(628.0, 0.14402, 0.195281)
(629.0, 0.141081, 0.195281)
(630.0, 0.135203, 0.201174)
(631.0, 0.126385, 0.204121)
(632.0, 0.120507, 0.207068)
(633.0, 0.117568, 0.201174)
(634.0, 0.111689, 0.195281)
(635.0, 0.102872, 0.189388)
(636.0, 0.102872, 0.186441)
(637.0, 0.102872, 0.183495)
(638.0, 0.105811, 0.192335)
(639.0, 0.114629, 0.198228)
(640.0, 0.126385, 0.207068)
(641.0, 0.129325, 0.212961)
(642.0, 0.120507, 0.224747)
(643.0, 0.120507, 0.233587)
(644.0, 0.129325, 0.236533)
(645.0, 0.129325, 0.233587)
(646.0, 0.120507, 0.233587)
(647.0, 0.123446, 0.227694)
(648.0, 0.132264, 0.221801)
(649.0, 0.14402, 0.215907)
(650.0, 0.14696, 0.210014)
(651.0, 0.14696, 0.210014)
(652.0, 0.138142, 0.210014)
(653.0, 0.135203, 0.210014)
(654.0, 0.135203, 0.210014)
(655.0, 0.135203, 0.212961)
(656.0, 0.132264, 0.215907)
(657.0, 0.126385, 0.218854)
(658.0, 0.123446, 0.221801)
(659.0, 0.123446, 0.221801)
(660.0, 0.123446, 0.221801)
(661.0, 0.126385, 0.218854)
(662.0, 0.126385, 0.212961)
(663.0, 0.126385, 0.207068)
(664.0, 0.126385, 0.210014)
(665.0, 0.129325, 0.204121)
(666.0, 0.132264, 0.201174)
(667.0, 0.132264, 0.195281)
(668.0, 0.126385, 0.198228)
(669.0, 0.123446, 0.204121)
(670.0, 0.123446, 0.212961)
(671.0, 0.123446, 0.218854)
(672.0, 0.126385, 0.218854)
(673.0, 0.129325, 0.221801)
(674.0, 0.129325, 0.221801)
(675.0, 0.126385, 0.221801)
(676.0, 0.123446, 0.221801)
(677.0, 0.120507, 0.224747)
(678.0, 0.117568, 0.224747)
(679.0, 0.114629, 0.224747)
(680.0, 0.111689, 0.224747)
(681.0, 0.10875, 0.224747)
(682.0, 0.10875, 0.227694)
(683.0, 0.117568, 0.227694)
(684.0, 0.123446, 0.227694)
(685.0, 0.123446, 0.236533)
(686.0, 0.114629, 0.24832)
(687.0, 0.10875, 0.25716)
(688.0, 0.111689, 0.254213)
(689.0, 0.114629, 0.24832)
(690.0, 0.114629, 0.242427)
(691.0, 0.111689, 0.24832)
(692.0, 0.10875, 0.254213)
(693.0, 0.10875, 0.263053)
(694.0, 0.10875, 0.263053)
(695.0, 0.105811, 0.263053)
(696.0, 0.102872, 0.268946)
(697.0, 0.102872, 0.271892)
(698.0, 0.102872, 0.271892)
(699.0, 0.094054, 0.265999)
(700.0, 0.082298, 0.265999)
(701.0, 0.07348, 0.271892)
(702.0, 0.079358, 0.277786)
(703.0, 0.085237, 0.274839)
(704.0, 0.088176, 0.274839)
(705.0, 0.094054, 0.271892)
(706.0, 0.094054, 0.271892)
(707.0, 0.094054, 0.271892)
(708.0, 0.091115, 0.274839)
(709.0, 0.088176, 0.280732)
(710.0, 0.082298, 0.277786)
(711.0, 0.085237, 0.268946)
(712.0, 0.088176, 0.260106)
(713.0, 0.091115, 0.25716)
(714.0, 0.091115, 0.25716)
(715.0, 0.088176, 0.25716)
(716.0, 0.082298, 0.24832)
(717.0, 0.085237, 0.23948)
(718.0, 0.094054, 0.236533)
(719.0, 0.094054, 0.242427)
(720.0, 0.085237, 0.24832)
(721.0, 0.076419, 0.251266)
(722.0, 0.07348, 0.254213)
(723.0, 0.079358, 0.251266)
(724.0, 0.085237, 0.245373)
(725.0, 0.094054, 0.242427)
(726.0, 0.096993, 0.23948)
(727.0, 0.099933, 0.23948)
(728.0, 0.099933, 0.23948)
(729.0, 0.105811, 0.236533)
(730.0, 0.114629, 0.23064)
(731.0, 0.120507, 0.227694)
(732.0, 0.117568, 0.23064)
(733.0, 0.114629, 0.23064)
(734.0, 0.10875, 0.227694)
(735.0, 0.102872, 0.221801)
(736.0, 0.099933, 0.210014)
(737.0, 0.096993, 0.207068)
(738.0, 0.099933, 0.210014)
(739.0, 0.102872, 0.215907)
(740.0, 0.102872, 0.227694)
(741.0, 0.102872, 0.227694)
(742.0, 0.105811, 0.224747)
(743.0, 0.10875, 0.218854)
(744.0, 0.111689, 0.212961)
(745.0, 0.105811, 0.212961)
(746.0, 0.099933, 0.212961)
(747.0, 0.094054, 0.215907)
(748.0, 0.088176, 0.218854)
(749.0, 0.079358, 0.224747)
(750.0, 0.076419, 0.227694)
(751.0, 0.07348, 0.23064)
(752.0, 0.07348, 0.236533)
(753.0, 0.067602, 0.224747)
(754.0, 0.058784, 0.212961)
(755.0, 0.047027, 0.204121)
(756.0, 0.03821, 0.204121)
(757.0, 0.03527, 0.207068)
(758.0, 0.03527, 0.204121)
(759.0, 0.03527, 0.201174)
(760.0, 0.032331, 0.198228)
(761.0, 0.026453, 0.201174)
(762.0, 0.020574, 0.210014)
(763.0, 0.008818, 0.215907)
(764.0, 0.002939, 0.215907)
(765.0, -0.005878, 0.212961)
(766.0, -0.008818, 0.212961)
(767.0, -0.008818, 0.210014)
(768.0, -0.011757, 0.212961)
(769.0, -0.014696, 0.215907)
(770.0, -0.017635, 0.218854)
(771.0, -0.014696, 0.218854)
(772.0, -0.005878, 0.221801)
(773.0, 0.002939, 0.224747)
(774.0, 0.014696, 0.224747)
(775.0, 0.020574, 0.221801)
(776.0, 0.026453, 0.221801)
(777.0, 0.026453, 0.218854)
(778.0, 0.026453, 0.215907)
(779.0, 0.026453, 0.212961)
(780.0, 0.023514, 0.210014)
(781.0, 0.017635, 0.207068)
(782.0, 0.014696, 0.204121)
(783.0, 0.011757, 0.207068)
(784.0, 0.008818, 0.210014)
(785.0, 0.008818, 0.212961)
(786.0, 0.017635, 0.210014)
(787.0, 0.026453, 0.210014)
(788.0, 0.032331, 0.207068)
